1 61 -11.9136 2.1     -24.2496148
1 62 -11.9136 2.2    -24.24967796
1 63 -11.9136 2.3    -24.24972819
1 64 -11.9136 2.4    -24.24976813
1 65 -11.9136 2.5    -24.24979987
1 66 -11.9136 2.6     -24.2498251
1 67 -11.9136 2.7    -24.24984516
1 68 -11.9136 2.8    -24.24986109
1 69 -11.9136 2.9    -24.24987375
1 70 -11.9136 3    -24.24988381
1 71 -11.9136 3.1     -24.2498918
1 72 -11.9136 3.2    -24.24989815
1 73 -11.9136 3.3     -24.2499032
1 74 -11.9136 3.4    -24.24990721
1 75 -11.9136 3.5     -24.2499104
1 76 -11.9136 3.6    -24.24991293
1 77 -11.9136 3.7    -24.24991495
1 78 -11.9136 3.8    -24.24991655
1 79 -11.9136 3.9    -24.24991783
1 80 -11.9136 4    -24.24991885
2 0 -11.8273 -4    -24.18079696
2 1 -11.8273 -3.9    -24.18079873
2 2 -11.8273 -3.8    -24.18080096
2 3 -11.8273 -3.7    -24.18080376
2 4 -11.8273 -3.6     -24.1808073
2 5 -11.8273 -3.5    -24.18081175
2 6 -11.8273 -3.4    -24.18081737
2 7 -11.8273 -3.3    -24.18082445
2 8 -11.8273 -3.2    -24.18083338
2 9 -11.8273 -3.1    -24.18084465
2 10 -11.8273 -3    -24.18085889
2 11 -11.8273 -2.9    -24.18087686
2 12 -11.8273 -2.8    -24.18089959
2 13 -11.8273 -2.7    -24.18092834
2 14 -11.8273 -2.6    -24.18096474
2 15 -11.8273 -2.5    -24.18101086
2 16 -11.8273 -2.4    -24.18106934
2 17 -11.8273 -2.3    -24.18114355
2 18 -11.8273 -2.2    -24.18123778
2 19 -11.8273 -2.1    -24.18135749
2 20 -11.8273 -2     -24.1815096
2 21 -11.8273 -1.9    -24.18170289
2 22 -11.8273 -1.8    -24.18194848
2 23 -11.8273 -1.7    -24.18226037
2 24 -11.8273 -1.6    -24.18265616
2 25 -11.8273 -1.5    -24.18315783
2 26 -11.8273 -1.4    -24.18379253
2 27 -11.8273 -1.3    -24.18459337
2 28 -11.8273 -1.2    -24.18559974
2 29 -11.8273 -1.1    -24.18685709
2 30 -11.8273 -1    -24.18841533
2 31 -11.8273 -0.9    -24.19032546
2 32 -11.8273 -0.8     -24.1926338
2 33 -11.8273 -0.7    -24.19537369
2 34 -11.8273 -0.6    -24.19855555
2 35 -11.8273 -0.5    -24.20215728
